,Frequency
hsa-mir-1278,3
hsa-mir-6823,3
hsa-mir-1285-2,3
hsa-mir-548u,3
hsa-mir-3180-5,3
hsa-mir-4498,3
hsa-mir-3143,3
hsa-mir-6084,3
hsa-mir-3678,3
hsa-mir-548w,3
hsa-mir-762,3
hsa-mir-3689c,3
hsa-mir-5707,3
hsa-mir-1587,3
hsa-mir-4450,3
hsa-mir-933,3
hsa-mir-3132,3
hsa-mir-4803,3
hsa-mir-4705,3
hsa-mir-890,3
hsa-mir-499b,3
hsa-mir-516a-1,3
hsa-mir-320e,3
hsa-mir-2355,3
hsa-mir-4711,3
hsa-mir-548ax,3
hsa-mir-3133,3
hsa-mir-4712,3
hsa-mir-4438,3
hsa-mir-1193,3
hsa-mir-3915,3
hsa-mir-3654,3
hsa-mir-10a,3
hsa-mir-378b,3
hsa-mir-6796,3
hsa-mir-3148,3
hsa-mir-1469,3
hsa-mir-4782,3
hsa-mir-378i,3
hsa-mir-3185,3
hsa-mir-4688,3
hsa-mir-4308,3
hsa-mir-711,3
hsa-mir-602,3
hsa-mir-4706,3
hsa-mir-4686,3
hsa-mir-657,3
hsa-mir-603,3
hsa-mir-4635,3
hsa-mir-6500,3
hsa-mir-506,3
hsa-mir-4650-1,3
hsa-mir-211,3
hsa-mir-3920,3
hsa-mir-2113,3
hsa-mir-373,3
hsa-mir-548f-1,3
hsa-mir-1299,3
hsa-mir-3128,3
hsa-mir-4485,3
hsa-mir-3177,3
hsa-mir-4454,3
hsa-mir-3119-2,3
hsa-mir-650,3
hsa-mir-518a-2,3
hsa-mir-3689d-1,3
hsa-mir-4258,3
hsa-mir-6770-3,3
hsa-mir-3938,3
hsa-mir-8082,3
hsa-mir-623,3
hsa-mir-4420,3
hsa-mir-575,3
hsa-mir-6088,3
hsa-mir-1253,3
hsa-mir-1264,3
hsa-mir-1285-1,3
hsa-mir-5196,3
hsa-mir-3914-1,3
hsa-mir-5684,3
hsa-mir-4428,3
hsa-mir-7157,3
hsa-mir-3675,3
hsa-mir-378j,3
hsa-mir-8079,3
hsa-mir-4765,3
hsa-mir-4739,3
hsa-mir-4429,3
hsa-mir-891a,3
hsa-mir-6849,3
hsa-mir-4651,3
hsa-mir-1272,3
hsa-mir-761,3
hsa-mir-4744,3
hsa-mir-520e,3
hsa-mir-6818,3
hsa-mir-6502,3
hsa-mir-6829,3
hsa-mir-4271,3
hsa-mir-4418,3
hsa-mir-4478,3
hsa-mir-3921,3
hsa-mir-410,2
hsa-mir-3178,2
hsa-mir-3926-1,2
hsa-mir-4785,2
hsa-mir-4680,2
hsa-mir-3174,2
hsa-mir-5585,2
hsa-mir-3162,2
hsa-mir-30d,2
hsa-mir-554,2
hsa-mir-5004,2
hsa-mir-4632,2
hsa-mir-7109,2
hsa-mir-6732,2
hsa-mir-196b,2
hsa-mir-4742,2
hsa-mir-3117,2
hsa-mir-7703,2
hsa-mir-5100,2
hsa-mir-3909,2
hsa-mir-153-1,2
hsa-mir-8075,2
hsa-mir-194-1,2
hsa-mir-3147,2
hsa-mir-4647,2
hsa-mir-4798,2
hsa-mir-6839,2
hsa-mir-425,2
hsa-mir-1295a,2
hsa-mir-4494,2
hsa-mir-7156,2
hsa-mir-5195,2
hsa-mir-1908,2
hsa-mir-4735,2
hsa-mir-4292,2
hsa-mir-1286,2
hsa-mir-6824,2
hsa-mir-4727,2
hsa-mir-6733,2
hsa-mir-5586,2
hsa-mir-621,2
hsa-mir-4768,2
hsa-mir-520a,2
hsa-mir-4653,2
hsa-mir-3153,2
stage,2
hsa-mir-519d,2
hsa-mir-508,2
hsa-mir-521-1,2
hsa-mir-194-2,2
hsa-mir-4713,2
hsa-mir-497,2
hsa-mir-6846,2
hsa-mir-4461,2
hsa-mir-4417,2
hsa-mir-6831,2
hsa-mir-6505,2
hsa-mir-548f-4,2
hsa-mir-601,2
hsa-mir-645,2
hsa-mir-3131,2
hsa-mir-1199,2
hsa-mir-4300,2
hsa-mir-516b-1,2
hsa-mir-383,2
hsa-mir-5692a-1,2
hsa-mir-4445,2
hsa-mir-4320,2
hsa-mir-520d,2
hsa-mir-5589,2
hsa-mir-6131,2
hsa-mir-518f,2
hsa-mir-3960,2
hsa-mir-4451,2
hsa-mir-4289,2
hsa-mir-5093,2
hsa-mir-3168,2
hsa-mir-1273g,2
hsa-mir-4717,2
hsa-mir-4302,2
hsa-mir-4430,2
hsa-mir-4464,2
hsa-mir-5590,2
hsa-mir-6853,2
hsa-mir-1244-2,2
hsa-mir-5095,2
hsa-mir-2117,2
hsa-mir-4780,2
hsa-mir-8086,2
hsa-mir-7704,2
hsa-mir-3122,2
hsa-mir-378h,2
hsa-mir-3145,2
hsa-mir-4424,2
hsa-mir-4716,2
hsa-mir-4449,2
hsa-mir-6786,2
hsa-mir-4671,2
hsa-mir-3156-1,2
hsa-mir-6759,2
hsa-mir-6776,2
hsa-mir-3672,2
hsa-mir-4700,2
hsa-mir-6860,2
hsa-mir-4505,2
hsa-mir-514b,2
hsa-mir-4431,2
hsa-mir-192,2
hsa-mir-5705,2
hsa-mir-1283-2,2
hsa-mir-6828,2
hsa-mir-1323,2
hsa-mir-5685,2
hsa-mir-938,2
hsa-mir-2681,2
hsa-mir-610,2
hsa-mir-4734,2
hsa-mir-6068,2
hsa-mir-3160-1,2
hsa-mir-7973-2,2
hsa-mir-1297,2
hsa-mir-4444-2,2
hsa-mir-595,2
hsa-mir-4466,2
hsa-mir-4634,2
hsa-mir-3914-2,2
hsa-mir-1260a,2
hsa-mir-3612,2
hsa-mir-615,2
hsa-mir-770,2
hsa-mir-4682,2
hsa-mir-378f,2
hsa-mir-346,2
hsa-mir-892b,2
hsa-mir-892a,2
hsa-mir-6727,2
hsa-mir-622,2
hsa-mir-145,2
hsa-mir-6862-2,2
hsa-mir-6736,2
hsa-mir-4470,2
hsa-mir-6087,2
hsa-mir-3650,2
hsa-mir-638,2
hsa-mir-6816,2
hsa-mir-6744,2
hsa-mir-4530,2
hsa-mir-7114,2
hsa-mir-4779,2
hsa-mir-522,2
hsa-mir-526b,2
hsa-mir-3924,2
hsa-mir-583,2
hsa-mir-3662,2
hsa-mir-147a,2
hsa-mir-4463,2
hsa-mir-384,2
hsa-mir-6875,2
hsa-mir-600,2
hsa-mir-3646,2
hsa-mir-550b-2,2
hsa-mir-6863,2
hsa-mir-1265,2
hsa-mir-4426,2
hsa-mir-6750,2
hsa-mir-3158-1,2
hsa-mir-219a-1,2
hsa-mir-103a-2,2
hsa-mir-320b-1,2
hsa-mir-144,2
hsa-mir-548ay,2
hsa-mir-3144,2
hsa-mir-199b,2
hsa-mir-548j,2
hsa-mir-4690,2
hsa-mir-4639,2
hsa-mir-4760,2
hsa-mir-3680-1,2
hsa-mir-4729,2
hsa-mir-5094,2
hsa-mir-19a,2
hsa-mir-4669,2
hsa-mir-3945,2
hsa-mir-512-1,2
hsa-mir-1290,2
hsa-mir-4662b,2
