,hsa-mir-185,hsa-mir-10a,hsa-mir-3653,hsa-mir-202,hsa-mir-381,hsa-mir-338,hsa-mir-144,hsa-mir-1270,hsa-mir-425,hsa-mir-187
hsa-mir-185,0.9794312795667095,-0.1127891340581996,0.11280778928079535,0.027119664128932106,0.022288582762956883,0.0779060361032735,0.18302919585899266,0.07137894179017733,0.19007152802727414,0.04664182957427065
hsa-mir-10a,-0.1127891340581996,0.9640816585078136,-0.06141164188895601,-0.02808653596025773,0.020824638363856725,-0.052265817012215714,0.031775713767515965,-0.005358779947005592,-0.028517388341193488,0.05340260620802486
hsa-mir-3653,0.11280778928079535,-0.06141164188895601,1.042267097717764,-0.017700254927191652,-0.06072310298768408,-0.01979426664206905,-0.07008960575353215,0.1171314612734552,0.2522672034934029,0.05275996134192784
hsa-mir-202,0.027119664128932106,-0.02808653596025773,-0.017700254927191652,1.247473542182048,-0.004129852735218284,-0.00011357730149467996,-0.016130621711072667,0.13757266842653237,0.047455397531066555,-0.019746302098068144
hsa-mir-381,0.022288582762956883,0.020824638363856725,-0.06072310298768408,-0.004129852735218284,1.0945564689060396,-0.0015276762729234045,-0.04540195894449626,-0.04091821234914287,-0.03971963973907178,0.02328643134032017
hsa-mir-338,0.0779060361032735,-0.052265817012215714,-0.01979426664206905,-0.00011357730149467996,-0.0015276762729234045,1.08983372606963,0.22435906536074843,0.2928965354284056,0.02848106488827332,-0.07971335048568642
hsa-mir-144,0.18302919585899266,0.031775713767515965,-0.07008960575353215,-0.016130621711072667,-0.04540195894449626,0.22435906536074843,1.0976585673444612,-0.0624830119312323,0.00040214932149876774,-0.08259411137935264
hsa-mir-1270,0.07137894179017733,-0.005358779947005592,0.1171314612734552,0.13757266842653237,-0.04091821234914287,0.2928965354284056,-0.0624830119312323,1.0278950256742814,0.1881111126986882,0.24772082646778978
hsa-mir-425,0.19007152802727414,-0.028517388341193488,0.2522672034934029,0.047455397531066555,-0.03971963973907178,0.02848106488827332,0.00040214932149876774,0.1881111126986882,1.0200068752558575,0.23249389493366268
hsa-mir-187,0.04664182957427065,0.05340260620802486,0.05275996134192784,-0.019746302098068144,0.02328643134032017,-0.07971335048568642,-0.08259411137935264,0.24772082646778978,0.23249389493366268,1.092380641750066
