,hsa-mir-202,hsa-mir-10a,hsa-mir-3653,hsa-mir-4777,hsa-mir-4434,hsa-mir-4728,hsa-mir-625,hsa-mir-5690,hsa-mir-4802,hsa-mir-580
hsa-mir-202,1.2483614147910196,-0.02764685302018741,-0.012701090724817163,-0.02802069554513476,-0.029663720239547484,0.024330268564218854,-0.021496992944080584,0.03919895309393462,-0.023908569405108687,0.10457888027527036
hsa-mir-10a,-0.02764685302018741,0.9760853839099917,-0.06918508968528198,0.02185810046664137,-0.018942698770730935,0.02920319138348713,-0.02957098690838057,-0.06834613291675462,-0.027492523167674008,-0.03287239131225052
hsa-mir-3653,-0.012701090724817163,-0.06918508968528198,0.9358585980240529,-0.09602083819688194,0.06984535824951749,0.05360601146308562,0.11995396376653897,0.14665366322744902,0.1328581866122192,0.03967192334212797
hsa-mir-4777,-0.02802069554513476,0.02185810046664137,-0.09602083819688194,1.043712769965661,-0.042635579887538126,-0.06716600078579482,-0.14996251877567415,0.002708993665646129,0.028139970765586823,-0.021373847910439905
hsa-mir-4434,-0.029663720239547484,-0.018942698770730935,0.06984535824951749,-0.042635579887538126,1.1054029701292063,-0.05964624394141843,0.022844392135791668,0.06026586603925265,0.05737622058738987,-0.004021076007242149
hsa-mir-4728,0.024330268564218854,0.02920319138348713,0.05360601146308562,-0.06716600078579482,-0.05964624394141843,0.9470728893313013,0.010180549100961984,-0.05392556333697927,0.020474696000855688,-0.059903626780685386
hsa-mir-625,-0.021496992944080584,-0.02957098690838057,0.11995396376653897,-0.14996251877567415,0.022844392135791668,0.010180549100961984,1.1137229183297122,0.1691750130084717,0.07340916494298796,0.27889389027091804
hsa-mir-5690,0.03919895309393462,-0.06834613291675462,0.14665366322744902,0.002708993665646129,0.06026586603925265,-0.05392556333697927,0.1691750130084717,1.0187526815227594,0.05005666427877402,0.17628758385547766
hsa-mir-4802,-0.023908569405108687,-0.027492523167674008,0.1328581866122192,0.028139970765586823,0.05737622058738987,0.020474696000855688,0.07340916494298796,0.05005666427877402,0.9718165626258976,0.12174220117877423
hsa-mir-580,0.10457888027527036,-0.03287239131225052,0.03967192334212797,-0.021373847910439905,-0.004021076007242149,-0.059903626780685386,0.27889389027091804,0.17628758385547766,0.12174220117877423,1.0124097848647835
