,hsa-mir-185,hsa-mir-23c,hsa-mir-10a,hsa-mir-187,hsa-mir-30b,hsa-mir-135a-2,hsa-mir-3124,hsa-mir-202,hsa-mir-4691,hsa-mir-4786
hsa-mir-185,0.9794312795667095,-0.012746488812793179,-0.1127891340581996,0.04664182957427065,0.07000599718965299,-0.004874880884543781,-0.03374014572221657,0.027119664128932106,0.1726129681202957,0.19213699959753044
hsa-mir-23c,-0.012746488812793179,0.8141128458324841,-0.018164957141110116,0.015328556563490615,0.10908447780714006,0.09966841544631452,-0.013212347849905225,-0.006825911320384651,-0.003328531605422739,-0.007620093374599017
hsa-mir-10a,-0.1127891340581996,-0.018164957141110116,0.9640816585078136,0.05340260620802486,-0.05608578423495299,0.02098876545420739,-0.02467407437406908,-0.02808653596025773,-0.023510580934104113,-0.04761613841435844
hsa-mir-187,0.04664182957427065,0.015328556563490615,0.05340260620802486,1.092380641750066,0.15771061893262775,-0.019126927672055333,-0.02355008198317208,-0.019746302098068144,0.1272792850477944,0.020343179208173547
hsa-mir-30b,0.07000599718965299,0.10908447780714006,-0.05608578423495299,0.15771061893262775,0.9015869754580574,0.21694584809184783,-0.006244176496900303,0.018177311754102286,-0.022040894137453988,-0.10059626066625768
hsa-mir-135a-2,-0.004874880884543781,0.09966841544631452,0.02098876545420739,-0.019126927672055333,0.21694584809184783,1.1667629982586691,-0.015363699808649784,0.013702792092507472,-0.009020713444250553,-0.05264054549488258
hsa-mir-3124,-0.03374014572221657,-0.013212347849905225,-0.02467407437406908,-0.02355008198317208,-0.006244176496900303,-0.015363699808649784,1.2414251021764549,0.0006465183514650665,-0.007128332669570459,0.004448278932971065
hsa-mir-202,0.027119664128932106,-0.006825911320384651,-0.02808653596025773,-0.019746302098068144,0.018177311754102286,0.013702792092507472,0.0006465183514650665,1.247473542182048,-0.03254415252262345,0.06966994121518942
hsa-mir-4691,0.1726129681202957,-0.003328531605422739,-0.023510580934104113,0.1272792850477944,-0.022040894137453988,-0.009020713444250553,-0.007128332669570459,-0.03254415252262345,0.9829212969432425,0.10600447984799297
hsa-mir-4786,0.19213699959753044,-0.007620093374599017,-0.04761613841435844,0.020343179208173547,-0.10059626066625768,-0.05264054549488258,0.004448278932971065,0.06966994121518942,0.10600447984799297,1.1282852131133239
