,hsa-mir-23c,hsa-mir-1304,hsa-mir-202,hsa-mir-185,hsa-mir-3124,hsa-mir-501,hsa-mir-193b,hsa-mir-4691,hsa-mir-30b,hsa-mir-509-1
hsa-mir-23c,1.0946460774972613,0.025699217014612016,-0.013936597690058814,0.012568756095809956,-0.018863989501990714,-0.016899187935576748,-0.024479711524720102,-0.012081320955687841,0.12615615002845756,-0.018040052995771244
hsa-mir-1304,0.025699217014612016,1.1992887375692736,0.07090664598927227,0.16352213054763418,0.017120123730446902,-0.011473107755989172,0.1546780309637049,0.0600887169345255,-0.026046263145073554,-0.02240537312845924
hsa-mir-202,-0.013936597690058814,0.07090664598927227,0.931101027100247,0.016115656807147247,-0.0056010467007578035,0.008124207676213753,-0.01321555550879334,-0.020459336612829213,0.003635801473676593,0.0038463515553201137
hsa-mir-185,0.012568756095809956,0.16352213054763418,0.016115656807147247,0.9721610047521008,-0.034958978584400884,0.15110401932184267,0.10864388959695592,0.1342427678193886,0.045733776048538205,-0.001990399542018125
hsa-mir-3124,-0.018863989501990714,0.017120123730446902,-0.0056010467007578035,-0.034958978584400884,1.2408310128426265,-0.03525433508036165,0.03219783686847494,-0.009616771083905127,-0.005499439022685889,-0.008300177175858413
hsa-mir-501,-0.016899187935576748,-0.011473107755989172,0.008124207676213753,0.15110401932184267,-0.03525433508036165,1.0868924285557078,0.08774156493581788,0.22613365975040825,0.08640634749902205,0.025477709145568427
hsa-mir-193b,-0.024479711524720102,0.1546780309637049,-0.01321555550879334,0.10864388959695592,0.03219783686847494,0.08774156493581788,0.9505984428849701,0.04366252581200892,-0.0796424263711183,0.13445892776316185
hsa-mir-4691,-0.012081320955687841,0.0600887169345255,-0.020459336612829213,0.1342427678193886,-0.009616771083905127,0.22613365975040825,0.04366252581200892,1.0754308018145633,-0.0378330129083321,0.028063297119587913
hsa-mir-30b,0.12615615002845756,-0.026046263145073554,0.003635801473676593,0.045733776048538205,-0.005499439022685889,0.08640634749902205,-0.0796424263711183,-0.0378330129083321,0.9521145053681862,-0.04094539174156182
hsa-mir-509-1,-0.018040052995771244,-0.02240537312845924,0.0038463515553201137,-0.001990399542018125,-0.008300177175858413,0.025477709145568427,0.13445892776316185,0.028063297119587913,-0.04094539174156182,0.9076594294670054
