,hsa-mir-4786,hsa-mir-202,hsa-mir-410,hsa-mir-135a-2,hsa-mir-23c,hsa-mir-1304,hsa-mir-29b-1,hsa-mir-3678,hsa-mir-26a-1,hsa-mir-193b
hsa-mir-4786,1.1456172020786421,0.06704457103548021,0.06263341830926072,-0.07027547019590323,0.007666183226233112,0.1145608273731833,-0.1281807885442024,0.0666506919121738,-0.09247108299054765,0.023454220146145812
hsa-mir-202,0.06704457103548021,1.2483614147910196,0.0021533563288923282,0.015868776421628265,-0.003850440802865965,0.07151966990609801,-0.03604353284714951,0.041875117890364036,0.024527199917517683,-0.0023058370132442046
hsa-mir-410,0.06263341830926072,0.0021533563288923282,1.0698591983895087,0.035401376470806135,0.016966810273682565,0.04988175068961549,-0.11100390424690969,0.029615978813058413,-0.07433041884902788,-0.041464094146150425
hsa-mir-135a-2,-0.07027547019590323,0.015868776421628265,0.035401376470806135,1.090745094779407,0.10138608855970445,-0.0514786444186816,0.09912709048250082,-0.008587044102298536,0.2241629870177397,-0.05691683849567801
hsa-mir-23c,0.007666183226233112,-0.003850440802865965,0.016966810273682565,0.10138608855970445,1.0837695367864977,0.03052167782500713,0.12928848802102325,-0.000337938418727452,0.08473262849090446,-0.0317436161375146
hsa-mir-1304,0.1145608273731833,0.07151966990609801,0.04988175068961549,-0.0514786444186816,0.03052167782500713,1.1245688782072099,-0.005876923839171108,0.004402936649539272,-0.030644826310765868,0.09844705035095962
hsa-mir-29b-1,-0.1281807885442024,-0.03604353284714951,-0.11100390424690969,0.09912709048250082,0.12928848802102325,-0.005876923839171108,1.0337272426317465,-0.0029923976386038447,0.1802247339899914,0.08489436670895414
hsa-mir-3678,0.0666506919121738,0.041875117890364036,0.029615978813058413,-0.008587044102298536,-0.000337938418727452,0.004402936649539272,-0.0029923976386038447,0.9853694669649391,-0.01548948254185169,0.015395676450222514
hsa-mir-26a-1,-0.09247108299054765,0.024527199917517683,-0.07433041884902788,0.2241629870177397,0.08473262849090446,-0.030644826310765868,0.1802247339899914,-0.01548948254185169,1.063586888319356,-0.22615371068481593
hsa-mir-193b,0.023454220146145812,-0.0023058370132442046,-0.041464094146150425,-0.05691683849567801,-0.0317436161375146,0.09844705035095962,0.08489436670895414,0.015395676450222514,-0.22615371068481593,0.9022011497496443
