Fold-Change,Chi-Squared,Information Gain
hsa-mir-3672,hsa-mir-3680-2,hsa-mir-3064
hsa-mir-3675,hsa-mir-3683,hsa-mir-30b
hsa-mir-3681,hsa-mir-3685,hsa-mir-30d
hsa-mir-3686,hsa-mir-3686,hsa-mir-3117
hsa-mir-3688-1,hsa-mir-3688-1,hsa-mir-3118-1
hsa-mir-3688-2,hsa-mir-3688-2,hsa-mir-3120
hsa-mir-3689b,hsa-mir-3689b,hsa-mir-3121
hsa-mir-3689c,hsa-mir-3689c,hsa-mir-3124
hsa-mir-3689d-1,hsa-mir-3689d-1,hsa-mir-3125
hsa-mir-371a,hsa-mir-3689e,hsa-mir-3130-2
hsa-mir-372,hsa-mir-3692,hsa-mir-3132
hsa-mir-373,hsa-mir-370,hsa-mir-3138
hsa-mir-378b,hsa-mir-371a,hsa-mir-3139
hsa-mir-378e,hsa-mir-372,hsa-mir-3140
hsa-mir-378g,hsa-mir-373,hsa-mir-3144
hsa-mir-378h,hsa-mir-376a-1,hsa-mir-3145
hsa-mir-378i,hsa-mir-376a-2,hsa-mir-3147
hsa-mir-378j,hsa-mir-378b,hsa-mir-3149
hsa-mir-383,hsa-mir-378e,hsa-mir-3153
hsa-mir-3914-1,hsa-mir-378f,hsa-mir-3154
hsa-mir-3914-2,hsa-mir-378g,hsa-mir-3155a
hsa-mir-3915,hsa-mir-378h,hsa-mir-3156-1
hsa-mir-3918,hsa-mir-378j,hsa-mir-3157
hsa-mir-3923,hsa-mir-380,hsa-mir-3158-1
hsa-mir-3924,hsa-mir-3907,hsa-mir-3160-2
hsa-mir-3927,hsa-mir-3910-1,hsa-mir-3165
hsa-mir-3929,hsa-mir-3914-1,hsa-mir-3166
hsa-mir-3935,hsa-mir-3915,hsa-mir-3174
hsa-mir-3938,hsa-mir-3921,hsa-mir-3179-4
hsa-mir-3960,hsa-mir-3924,hsa-mir-3182
hsa-mir-3973,hsa-mir-3927,hsa-mir-3183
hsa-mir-422a,hsa-mir-3936,hsa-mir-3186
hsa-mir-4256,hsa-mir-3937,hsa-mir-3192
hsa-mir-4258,hsa-mir-3938,hsa-mir-3198-2
hsa-mir-4260,hsa-mir-3939,hsa-mir-320b-1
hsa-mir-4263,hsa-mir-3941,hsa-mir-320d-1
hsa-mir-4264,hsa-mir-3972,hsa-mir-320e
hsa-mir-4276,hsa-mir-3973,hsa-mir-325
hsa-mir-4279,hsa-mir-409,hsa-mir-329-1
hsa-mir-4289,hsa-mir-410,hsa-mir-329-2
hsa-mir-4292,hsa-mir-412,hsa-mir-335
hsa-mir-4295,hsa-mir-422a,hsa-mir-346
hsa-mir-4296,hsa-mir-4254,hsa-mir-3605
hsa-mir-4300,hsa-mir-4263,hsa-mir-3612
hsa-mir-4302,hsa-mir-4264,hsa-mir-3613
hsa-mir-4308,hsa-mir-4276,hsa-mir-3622a
hsa-mir-4315-1,hsa-mir-4278,hsa-mir-3648-2
hsa-mir-4315-2,hsa-mir-4279,hsa-mir-3654
hsa-mir-4320,hsa-mir-4284,hsa-mir-3655
hsa-mir-4321,hsa-mir-4289,hsa-mir-3661
hsa-mir-4322,hsa-mir-4300,hsa-mir-3662
hsa-mir-4417,hsa-mir-4302,hsa-mir-3666
hsa-mir-4420,hsa-mir-4308,hsa-mir-3670-3
hsa-mir-4425,hsa-mir-4310,hsa-mir-3678
hsa-mir-4427,hsa-mir-4315-2,hsa-mir-3680-2
hsa-mir-4428,hsa-mir-4317,hsa-mir-3685
hsa-mir-4429,hsa-mir-4320,hsa-mir-3687-2
hsa-mir-4430,hsa-mir-4321,hsa-mir-3688-1
hsa-mir-4431,hsa-mir-4327,hsa-mir-3689b
hsa-mir-4432,hsa-mir-4417,hsa-mir-369
hsa-mir-4433a,hsa-mir-4418,hsa-mir-3690-2
hsa-mir-4433b,hsa-mir-4419b,hsa-mir-3692
hsa-mir-4435-2,hsa-mir-4421,hsa-mir-370
hsa-mir-4436a,hsa-mir-4426,hsa-mir-372
hsa-mir-4436b-2,hsa-mir-4427,hsa-mir-374c
hsa-mir-4437,hsa-mir-4428,hsa-mir-375
hsa-mir-4438,hsa-mir-4435-1,hsa-mir-376c
hsa-mir-4440,hsa-mir-4435-2,hsa-mir-378d-1
hsa-mir-4445,hsa-mir-4436a,hsa-mir-379
hsa-mir-4450,hsa-mir-4438,hsa-mir-381
hsa-mir-4451,hsa-mir-4439,hsa-mir-3908
hsa-mir-4452,hsa-mir-4440,hsa-mir-3909
hsa-mir-4454,hsa-mir-4441,hsa-mir-3913-2
hsa-mir-4458,hsa-mir-4446,hsa-mir-3920
hsa-mir-4460,hsa-mir-4448,hsa-mir-3927
hsa-mir-4461,hsa-mir-4450,hsa-mir-3938
hsa-mir-4462,hsa-mir-4457,hsa-mir-3939
hsa-mir-4464,hsa-mir-4459,hsa-mir-3940
hsa-mir-4465,hsa-mir-4460,hsa-mir-3945
hsa-mir-4466,hsa-mir-4461,hsa-mir-3973
hsa-mir-4467,hsa-mir-4462,hsa-mir-410
hsa-mir-4468,hsa-mir-4464,hsa-mir-421
hsa-mir-4471,hsa-mir-4468,hsa-mir-423
hsa-mir-4476,hsa-mir-4470,hsa-mir-4257
hsa-mir-448,hsa-mir-4471,hsa-mir-4258
hsa-mir-4483,hsa-mir-4478,hsa-mir-4260
hsa-mir-4485,hsa-mir-4487,hsa-mir-4264
hsa-mir-4487,hsa-mir-4488,hsa-mir-4265
hsa-mir-4493,hsa-mir-4489,hsa-mir-4268
hsa-mir-4496,hsa-mir-4492,hsa-mir-4271
hsa-mir-4497,hsa-mir-4493,hsa-mir-4277
