Fold-Change,Chi-Squared,Information Gain
hsa-mir-6862-1,hsa-mir-6873,hsa-mir-6854
hsa-mir-6862-2,hsa-mir-6878,hsa-mir-6859-1
hsa-mir-6863,hsa-mir-6879,hsa-mir-6860
hsa-mir-6864,hsa-mir-6889,hsa-mir-6861
hsa-mir-6867,hsa-mir-6893,hsa-mir-6865
hsa-mir-6873,hsa-mir-7107,hsa-mir-6872
hsa-mir-6876,hsa-mir-711,hsa-mir-6874
hsa-mir-7107,hsa-mir-7111,hsa-mir-6875
hsa-mir-711,hsa-mir-7113,hsa-mir-6876
hsa-mir-7151,hsa-mir-7158,hsa-mir-6877
hsa-mir-7157,hsa-mir-718,hsa-mir-6878
hsa-mir-7158,hsa-mir-761,hsa-mir-6880
hsa-mir-718,hsa-mir-762,hsa-mir-6881
hsa-mir-761,hsa-mir-770,hsa-mir-708
hsa-mir-762,hsa-mir-7843,hsa-mir-7109
hsa-mir-764,hsa-mir-7845,hsa-mir-7154
hsa-mir-7704,hsa-mir-7847,hsa-mir-7157
hsa-mir-7847,hsa-mir-7849,hsa-mir-7158
hsa-mir-7852,hsa-mir-7853,hsa-mir-7161
hsa-mir-7853,hsa-mir-7856,hsa-mir-744
hsa-mir-7856,hsa-mir-7974,hsa-mir-7641-2
hsa-mir-7973-1,hsa-mir-7977,hsa-mir-767
hsa-mir-7973-2,hsa-mir-802,hsa-mir-770
hsa-mir-7977,hsa-mir-8052,hsa-mir-7703
hsa-mir-7978,hsa-mir-8059,hsa-mir-7704
hsa-mir-802,hsa-mir-8066,hsa-mir-7846
hsa-mir-8052,hsa-mir-8073,hsa-mir-7856
hsa-mir-8059,hsa-mir-8075,hsa-mir-7973-1
hsa-mir-8064,hsa-mir-8079,hsa-mir-7974
hsa-mir-8066,hsa-mir-8082,hsa-mir-802
hsa-mir-8073,hsa-mir-8083,hsa-mir-8060
hsa-mir-8075,hsa-mir-8085,hsa-mir-8062
hsa-mir-8077,hsa-mir-875,hsa-mir-8066
hsa-mir-8079,hsa-mir-876,hsa-mir-8074
hsa-mir-8082,hsa-mir-888,hsa-mir-8080
hsa-mir-8083,hsa-mir-889,hsa-mir-8086
hsa-mir-875,hsa-mir-890,hsa-mir-8087
hsa-mir-890,hsa-mir-891a,hsa-mir-887
hsa-mir-891a,hsa-mir-891b,hsa-mir-889
hsa-mir-891b,hsa-mir-892a,hsa-mir-920
hsa-mir-892a,hsa-mir-892b,hsa-mir-922
hsa-mir-892b,hsa-mir-892c,hsa-mir-92a-1
hsa-mir-921,hsa-mir-921,hsa-mir-92a-2
hsa-mir-922,hsa-mir-922,hsa-mir-935
hsa-mir-933,hsa-mir-933,hsa-mir-938
hsa-mir-941-1,hsa-mir-936,hsa-mir-941-1
stage,hsa-mir-941-1,hsa-mir-941-4
subtype,stage,hsa-mir-943
