Fold-Change,RFE,NCA
hsa-mir-1587,hsa-mir-571,hsa-mir-1909
hsa-mir-1825,hsa-mir-597,hsa-mir-1913
hsa-mir-1908,hsa-mir-6507,hsa-mir-202
hsa-mir-1911,hsa-mir-6780b,hsa-mir-211
hsa-mir-1912,hsa-mir-6808,hsa-mir-2114
hsa-mir-192,hsa-mir-6811,hsa-mir-2115
hsa-mir-194-1,hsa-mir-6868,hsa-mir-2117
hsa-mir-194-2,hsa-mir-6872,hsa-mir-219a-2
hsa-mir-208a,hsa-mir-6888,hsa-mir-2392
hsa-mir-211,hsa-mir-7111,hsa-mir-2681
hsa-mir-2113,hsa-mir-7151,hsa-mir-2909
hsa-mir-2114,hsa-mir-7843,hsa-mir-3064
hsa-mir-2117,hsa-mir-7849,hsa-mir-3065
hsa-mir-215,hsa-mir-8085,hsa-mir-3117
hsa-mir-219a-2,hsa-mir-938,hsa-mir-3119-2
hsa-mir-2861,,hsa-mir-3120
hsa-mir-298,,hsa-mir-3121
hsa-mir-302c,,hsa-mir-3126
hsa-mir-302d,,hsa-mir-3133
hsa-mir-3116-2,,hsa-mir-3135a
hsa-mir-3119-1,,hsa-mir-3135b
hsa-mir-3119-2,,hsa-mir-3139
hsa-mir-3120,,hsa-mir-3141
hsa-mir-3121,,hsa-mir-3142
hsa-mir-3122,,hsa-mir-3143
hsa-mir-3125,,hsa-mir-3146
hsa-mir-3128,,hsa-mir-3149
hsa-mir-3131,,hsa-mir-3155b
hsa-mir-3132,,hsa-mir-3156-2
hsa-mir-3133,,hsa-mir-3159
hsa-mir-3135a,,hsa-mir-3160-1
hsa-mir-3141,,hsa-mir-3163
hsa-mir-3142,,hsa-mir-3165
hsa-mir-3145,,hsa-mir-3166
hsa-mir-3147,,hsa-mir-3175
hsa-mir-3148,,hsa-mir-3178
hsa-mir-3149,,hsa-mir-3180-2
hsa-mir-3153,,hsa-mir-3180-4
hsa-mir-3155b,,hsa-mir-3181
hsa-mir-3156-1,,hsa-mir-3185
hsa-mir-3156-3,,hsa-mir-3189
hsa-mir-3160-1,,hsa-mir-3190
hsa-mir-3160-2,,hsa-mir-3197
hsa-mir-3167,,hsa-mir-3198-1
hsa-mir-3168,,hsa-mir-3199-1
hsa-mir-3177,,hsa-mir-320e
hsa-mir-3180-1,,hsa-mir-34c
hsa-mir-3180-2,,hsa-mir-3606
hsa-mir-3180-3,,hsa-mir-3611
hsa-mir-3180-5,,hsa-mir-3621
hsa-mir-3184,,hsa-mir-3646
