Feature,Info_Gain_General,Info_Gain_Stage,Info_Gain_Subtype
hsa-mir-4731,0.010480092385037776,0.0,0.0178070268777899
hsa-mir-3661,0.009895279882541463,0.0015144661012937988,0.0
hsa-mir-4257,0.009354875194632073,0.0,0.007999899636729424
hsa-mir-5690,0.009244271059091314,0.029414785451765457,0.02330576717145827
hsa-mir-181d,0.009048764827392808,0.04295767894864788,0.007887133479072439
hsa-mir-4637,0.008742756314789712,0.036809072892034056,0.008290711711866239
hsa-mir-526a-2,0.008537131883191829,0.0,0.011825412385229273
hsa-mir-5583-1,0.008407840370621256,0.028447447808759296,0.017799199560090795
hsa-mir-203b,0.008401717859938929,0.014608087165368211,0.0
hsa-mir-509-1,0.008128940141206131,0.012534603942109701,0.011124451904989119
hsa-mir-4501,0.008110530407939631,0.027992359289168434,0.011661530262838893
hsa-mir-4802,0.007921820057633422,0.0,0.03140797085217928
hsa-mir-4471,0.0077838588043903645,0.006883783041883973,0.0
hsa-mir-6880,0.007590021151371751,0.0,0.016753012835565517
hsa-mir-548ac,0.0074586604831184955,0.02463059780519261,0.0
hsa-mir-381,0.007227530866021459,0.026695105755985882,0.0015121993374695997
hsa-mir-4740,0.007062030991398349,0.006642664803332643,0.012401393095184954
hsa-mir-6849,0.007013687273709435,0.0,0.002524945819508684
hsa-mir-5088,0.006872322750723137,0.0,0.00629382882833629
hsa-mir-4513,0.006840922158078855,0.008427283725197743,0.0011215069807726241
hsa-mir-6720,0.006618400136191971,0.0,0.006036325433681711
hsa-mir-941-1,0.006448509309711525,0.0017254059444145042,0.018309507808763614
hsa-mir-17,0.0063508694112486275,0.0,0.0010259923525071102
hsa-mir-589,0.006284949621876756,0.0403113091395082,0.0
hsa-mir-4684,0.0062684712942675525,0.0,0.015815203781143206
hsa-mir-3908,0.006187749152284483,0.0027246861852141535,0.023174799162024806
hsa-mir-5572,0.006177318242981067,0.01642181367384321,0.010250177712797015
hsa-mir-6829,0.006176674399401394,0.024423379946042267,0.0183792297183194
hsa-mir-4264,0.00607089438999131,0.011559808580013708,0.0009344029391622488
hsa-mir-5589,0.006066113260418504,0.0,0.017766808081321583
hsa-mir-466,0.0060272685250875035,0.002394869805927957,0.007415923676193703
hsa-mir-145,0.005979523081929061,0.0,0.0
hsa-mir-770,0.005961075410147898,0.0,0.0
hsa-mir-6768,0.005911030495594605,0.0028979704948457474,0.04070063405496116
hsa-mir-1273g,0.005889395902177075,0.006936371025500154,0.0
hsa-mir-6875,0.005846369720848732,0.0,0.0
hsa-mir-3145,0.005736086374352745,0.005710523083159114,0.0
hsa-mir-572,0.005735386931867703,0.0,0.01042180027743278
hsa-mir-23c,0.00572251246752653,0.004826367095994044,0.005834113871911795
hsa-mir-200c,0.005596073230573317,0.004444620931607357,0.0
hsa-mir-4277,0.005530270256347225,0.0,0.015727375669349897
hsa-mir-3144,0.005524422158973863,0.02365578504308541,0.009414052065884082
hsa-mir-520f,0.005497917134364538,0.0,0.0001820405073520437
hsa-mir-548i-1,0.0054222549712618084,0.02806176574767294,0.010269856731732085
hsa-mir-6090,0.005410289457936757,0.0,0.01827382403954103
hsa-mir-4472-1,0.005408925032791334,0.003056569164296974,0.0
hsa-mir-4756,0.005370799092422662,0.006636860740674155,0.0
hsa-mir-135a-2,0.005369404126068789,0.0,0.002882090654574121
hsa-mir-193b,0.005365149257971158,0.0,0.0
hsa-mir-6796,0.005326300671625539,0.010628732069679181,0.005164013296973247
hsa-mir-4794,0.005319103018675997,0.009212024310328637,0.0
hsa-mir-370,0.005307342479816901,0.0,0.015430056266156678
hsa-mir-3692,0.0052896300572694566,0.0,0.013814306061521231
hsa-mir-6499,0.0052762579578080615,0.013762183610082523,0.0030899708619047672
hsa-mir-1193,0.005269428927060726,0.04055742029557141,0.018121795622655146
hsa-mir-19a,0.005268032495648778,0.008484717977800038,0.0
hsa-mir-1908,0.0052410423901130265,0.010844410211563016,0.0
hsa-mir-4638,0.005180762865369171,0.0,5.653482022527356e-07
hsa-mir-3124,0.005175688527896849,0.0,0.03081551594868115
hsa-mir-4466,0.005157300110949281,0.01990871592434651,0.020902094596418674
hsa-mir-6769b,0.005130019231074812,0.0028764699814294303,0.0
hsa-mir-6777,0.005114962725946581,0.0,0.0
hsa-mir-6865,0.005104088834293807,0.012411138087784934,0.0
hsa-mir-299,0.00509579472317534,0.0,0.009021909957326102
hsa-mir-3156-1,0.0050668975805047145,0.0,0.03470143241647916
hsa-mir-320d-1,0.005060537472573401,0.0,0.0
