Feature,Fold_Change_Score,Chi_Squared_Score
hsa-mir-7974,0.7061423195088335,1.06467985228297
hsa-mir-1298,4.310068325686006,1.073387401886975
hsa-mir-548au,0.5942390946626062,1.231051447954978
hsa-mir-4461,1.9745692279634293,1.634961330313777
hsa-mir-6087,1.00209932992185,1.6410573273357547
hsa-mir-526b,6.4812380315945335,1.216600339989523
hsa-mir-4435-2,2.404495282611617,2.526279916622232
hsa-mir-875,2.602130563806912,1.625828416571428
hsa-mir-519b,3.0118052221119864,1.154304096471298
hsa-mir-5702,0.866987505358226,2.1009591179082627
hsa-mir-3606,0.3616525131583571,1.001489433100864
hsa-mir-512-1,6.891410585649778,1.1417567690340116
hsa-mir-6738,0.9449955199614652,1.0801735057127366
hsa-mir-518a-2,6.594470123165745,1.0447615471057363
hsa-mir-4652,0.7463395621167338,1.0325341973037905
hsa-mir-6740,0.6836608428683877,1.9396024676340096
hsa-mir-6757,0.3753057821680055,1.0752492073147586
hsa-mir-891a,4.482171474206703,7.921378362228949
hsa-mir-6766,1.6588496044864902,1.947884253174338
hsa-mir-599,3.3044079255140817,1.5515850400300537
hsa-mir-4734,1.913883388462815,1.1526996747860936
hsa-mir-4488,0.8573310720901212,5.719941846198406
hsa-mir-6751,0.7624883387103465,1.5230408054312634
hsa-mir-1269b,2.763753193973707,2.612703825750894
hsa-mir-5703,0.3211017987915867,1.248807118663208
hsa-mir-3199-1,0.5601154844237518,1.5415024733031748
hsa-mir-892b,4.432601639474041,2.252123422601919
hsa-mir-3910-1,0.930558675394165,1.414747660377454
hsa-mir-548ag-2,0.7540217469006245,1.1510744155293793
hsa-mir-6873,2.0093879398563503,2.120890964776927
hsa-mir-5584,0.814813823511346,2.10792665583271
hsa-mir-2467,0.4756893846506861,1.4167707775755194
hsa-mir-6849,1.945676167824976,1.2626633498164788
hsa-mir-6736,1.307424649109271,1.4900515826935798
hsa-mir-516a-1,4.099102211320826,1.4373860538694134
hsa-mir-412,0.2821776363351727,1.107683258565305
hsa-mir-4744,1.7713174629427482,1.0172267568644795
hsa-mir-2682,1.648489300305056,1.5891312068857684
hsa-mir-3177,1.8878257655891717,1.3005224758197569
hsa-mir-6753,0.5160601333717197,1.0075864308744642
hsa-mir-4639,0.5590949208258912,1.1071977936993465
hsa-mir-1269a,1.8055686604581107,0.9650362974068444
hsa-mir-4705,1.7520774692335987,0.971456127643881
hsa-mir-137,1.554685624774534,1.9796150948884368
hsa-mir-3196,1.6253871599106482,4.107137366861887
hsa-mir-372,5.445099517972551,1.8897603774355805
hsa-mir-3692,0.5119522651697852,1.3387416203345357
hsa-mir-548k,0.3881718200657001,1.0450709901419015
hsa-mir-548az,1.2183365719904184,1.1662378151742918
hsa-mir-1914,1.2847575052753388,1.066038764343048
hsa-mir-888,1.5802964056713482,4.513682231576536
hsa-mir-513a-1,3.526214576574092,1.3559338950303108
hsa-mir-2113,2.308778983207669,1.1639997497131511
hsa-mir-514b,2.9493543809127494,1.1863402529499758
hsa-mir-6750,1.5892346682667091,1.2261321670185736
hsa-mir-370,0.591570428533179,0.9897598775653522
hsa-mir-3689e,0.9855623479285958,1.561203281626293
hsa-mir-892c,0.7195902056732902,1.685107683290196
hsa-mir-6796,1.8138853927450416,2.1584750698552138
hsa-mir-3680-2,0.7166066376065637,1.4192730087155447
hsa-mir-539,0.280443161055254,1.1212235597968856
hsa-mir-936,0.6359624547128402,7.7398972531396275
hsa-mir-612,0.5543346244577377,1.1700372975665532
hsa-mir-4690,0.8852813609101201,1.738127386364063
hsa-mir-662,3.0993334596879936,1.068688233402275
hsa-mir-4773-1,1.0655944040247476,1.9285971499340968
hsa-mir-4782,2.0298773790782256,1.1698773344027762
hsa-mir-6717,0.8675844273315318,1.4071041833336095
hsa-mir-1912,5.188067986433048,1.0248934228235729
hsa-mir-3146,1.4552702389890293,1.1957593801238646
hsa-mir-4448,0.9752158279576744,2.899533958132049
hsa-mir-6819,1.065285374870146,1.043676860693905
hsa-mir-516a-2,3.5206124082272283,1.3429416265501646
hsa-mir-6801,0.3194759517723795,1.821577282372003
hsa-mir-373,5.294653135116312,1.6872513405782228
hsa-mir-329-1,1.0164899768724422,1.2977664384706953
hsa-mir-891b,3.627509474471084,1.7210693182076895
hsa-mir-3131,2.121149647159749,1.4945780983703116
hsa-mir-668,2.0279477423937387,1.8360335398931735
hsa-mir-6815,0.5024988773099516,1.0287915406867651
hsa-mir-527,6.29789127036145,1.0878514505403003
hsa-mir-653,0.7959908120962572,1.3420412425253696
hsa-mir-3685,0.7466492118945758,1.0428214142996834
hsa-mir-371a,5.796977766886868,1.5959545911557227
hsa-mir-4516,1.630668149074736,3.2173359936679007
hsa-mir-466,2.497976911262989,1.3932835365809282
hsa-mir-548x,2.617608821293348,1.2134820248526308
hsa-mir-4435-1,0.820275821028144,1.7776525259596978
hsa-mir-3661,0.7960043155009874,2.6211433760813696
hsa-mir-548at,0.7754631311632895,1.5028308596820612
hsa-mir-4731,0.8099632799267973,0.9999671444291972
hsa-mir-4794,2.7112626783949736,1.5796336551235577
hsa-mir-4773-2,0.8905906934836477,1.5707521224215375
hsa-mir-6767,1.1912375378242883,1.0743514885702736
hsa-mir-4722,0.4331778002352736,2.9355123907920406
hsa-mir-3128,3.698247208032887,2.144235130815898
hsa-mir-4752,1.4102329180761417,2.4373747076055867
hsa-mir-6823,1.7662546378854171,2.331448202107544
hsa-mir-5681b,1.6013996932058123,1.06618809216655
hsa-mir-3159,0.6721616209340312,1.5942232410763268
hsa-mir-3180-4,0.932012988520592,1.6680621064134116
hsa-mir-5690,2.3768014164760425,1.326157424390655
hsa-mir-5691,1.1508354507267553,2.026963366732131
hsa-mir-512-2,6.246140379525719,1.126768096977664
hsa-mir-1278,1.5332421517838342,1.7461076816174912
hsa-mir-892a,4.514837484796138,2.268045029495188
hsa-mir-544a,1.0433614824908155,1.4266777099125856
hsa-mir-3149,2.936116571208984,1.73856936876974
hsa-mir-3680-1,0.4426818224311156,1.2798894225113011
hsa-mir-4426,1.0152449894488385,1.832324453347637
hsa-mir-577,0.8304533557417313,0.9922716287461552
