,Frequency
hsa-mir-4672,4
hsa-mir-4729,4
hsa-mir-3919,4
hsa-mir-4276,4
hsa-mir-659,4
hsa-mir-4536-1,4
hsa-mir-1294,4
hsa-mir-635,4
hsa-mir-5702,4
hsa-mir-591,4
hsa-mir-4635,4
hsa-mir-573,4
hsa-mir-3182,4
hsa-mir-3120,4
hsa-mir-1827,4
hsa-mir-7109,4
hsa-mir-4697,4
hsa-mir-5089,4
hsa-mir-1912,4
hsa-mir-548h-5,4
hsa-mir-1972-1,4
hsa-mir-603,4
hsa-mir-7975,4
hsa-mir-4444-2,4
hsa-mir-6832,4
hsa-mir-3158-1,4
hsa-mir-5006,4
hsa-mir-7114,4
hsa-mir-1271,4
hsa-mir-609,4
hsa-mir-302c,4
hsa-mir-4777,4
hsa-mir-1299,4
hsa-mir-651,4
hsa-mir-4694,4
hsa-mir-6740,4
hsa-mir-6081,4
hsa-mir-6744,4
hsa-mir-3692,4
hsa-mir-3183,4
hsa-mir-6780b,4
hsa-mir-491,4
hsa-mir-30d,4
hsa-mir-4720,4
hsa-mir-4260,4
hsa-mir-3942,4
hsa-mir-7974,4
hsa-mir-4686,4
hsa-mir-548l,4
hsa-mir-6893,4
hsa-mir-1268b,4
hsa-mir-4790,4
hsa-mir-4264,4
hsa-mir-5011,4
hsa-mir-188,4
hsa-mir-617,4
hsa-mir-1587,4
hsa-mir-195,4
hsa-mir-4280,4
hsa-mir-10a,4
hsa-mir-890,4
hsa-mir-3148,4
hsa-mir-521-1,4
hsa-mir-140,4
hsa-mir-6717,4
hsa-mir-632,4
hsa-mir-103a-2,4
hsa-mir-1270,4
hsa-mir-5692c-2,4
hsa-mir-3116-2,4
hsa-mir-936,4
hsa-mir-4756,4
hsa-mir-4451,4
hsa-mir-6775,4
hsa-mir-7156,4
hsa-mir-1288,4
hsa-mir-4726,4
hsa-mir-320b-1,4
hsa-mir-5586,4
hsa-mir-6868,4
hsa-mir-4502,4
hsa-mir-3672,4
hsa-mir-5694,4
hsa-mir-4439,4
hsa-mir-3202-1,4
hsa-mir-934,4
hsa-mir-4737,4
hsa-mir-636,4
hsa-mir-551b,4
hsa-mir-4782,4
hsa-mir-4667,4
hsa-mir-5680,4
hsa-mir-4743,4
hsa-mir-4271,4
hsa-mir-3128,4
hsa-mir-6766,4
hsa-mir-7849,4
hsa-mir-378d-1,4
hsa-let-7c,4
hsa-mir-4429,4
hsa-mir-181b-2,4
hsa-mir-8079,4
hsa-mir-4484,4
hsa-mir-548v,4
hsa-mir-3620,4
hsa-mir-3177,4
hsa-mir-6734,4
hsa-mir-4741,4
hsa-mir-1245a,4
hsa-mir-1281,4
hsa-mir-4327,4
hsa-mir-3150a,4
hsa-mir-661,4
hsa-mir-4519,4
hsa-mir-4683,4
hsa-mir-4649,4
hsa-mir-4679-1,4
hsa-mir-548k,4
hsa-mir-374b,4
hsa-mir-935,4
hsa-mir-548as,4
hsa-mir-151b,4
hsa-mir-4753,4
hsa-mir-4723,4
hsa-mir-7844,4
hsa-mir-4518,4
hsa-mir-548f-1,4
hsa-mir-1206,4
hsa-mir-4539,4
hsa-mir-100,4
hsa-mir-4510,4
hsa-mir-938,4
hsa-mir-6838,4
hsa-mir-548ax,4
hsa-mir-4488,4
hsa-mir-4760,4
hsa-mir-4530,4
hsa-mir-4504,4
hsa-mir-4420,4
hsa-mir-4506,4
hsa-mir-4696,4
hsa-mir-451b,4
hsa-mir-4692,4
hsa-mir-4713,4
hsa-mir-548o-2,4
hsa-mir-4678,4
hsa-mir-4804,4
hsa-mir-3169,4
hsa-mir-505,4
hsa-mir-135b,4
hsa-mir-185,4
hsa-mir-933,4
hsa-mir-1295a,4
hsa-mir-4427,4
hsa-mir-4440,4
hsa-mir-3141,4
hsa-mir-6846,4
hsa-mir-4490,4
hsa-mir-384,4
hsa-mir-145,4
hsa-mir-1247,4
hsa-mir-4752,4
hsa-mir-4480,4
hsa-mir-6513,4
hsa-mir-221,4
hsa-mir-548ak,4
hsa-mir-614,4
hsa-mir-187,4
hsa-mir-3162,4
hsa-mir-8058,4
hsa-mir-891b,4
hsa-mir-4508,4
hsa-mir-4705,4
hsa-mir-548ba,4
hsa-mir-5087,4
hsa-mir-615,4
hsa-mir-548al,4
hsa-mir-4666b,4
hsa-mir-3688-2,4
hsa-mir-6869,4
hsa-mir-378g,4
hsa-mir-1275,4
hsa-mir-4448,4
hsa-mir-4462,4
hsa-mir-3936,4
hsa-mir-1291,4
hsa-mir-2114,4
hsa-mir-582,4
hsa-mir-548q,4
hsa-mir-4773-1,4
hsa-mir-592,4
hsa-mir-548b,4
hsa-mir-6826,4
hsa-mir-8083,4
hsa-mir-7851,4
hsa-mir-506,4
hsa-mir-4263,4
hsa-mir-567,4
hsa-mir-1238,4
hsa-mir-219a-1,4
hsa-mir-5192,4
hsa-mir-4315-2,4
hsa-mir-653,4
hsa-mir-372,4
hsa-mir-668,4
hsa-mir-5691,4
hsa-mir-6745,4
hsa-mir-3646,4
hsa-mir-641,4
hsa-mir-5684,4
hsa-mir-555,4
hsa-mir-378i,4
