,0
hsa-mir-520a,8.776809385972905
hsa-mir-520f,7.479980690315695
hsa-mir-518c,7.34120470080784
hsa-mir-516b-1,6.974440337930705
hsa-mir-512-1,6.891410585649778
hsa-mir-525,6.8855978144022
hsa-mir-518a-2,6.594470123165745
hsa-mir-518b,6.498127649946665
hsa-mir-520c,6.482025937133054
hsa-mir-526b,6.4812380315945335
hsa-mir-519c,6.345687926843955
hsa-mir-520g,6.3138994643415485
hsa-mir-527,6.29789127036145
hsa-mir-512-2,6.246140379525719
hsa-mir-1323,6.160588711101997
hsa-mir-517c,6.088853294542871
hsa-mir-520b,5.9755360607133134
hsa-mir-521-1,5.975077522657814
hsa-mir-518a-1,5.955958547510077
hsa-mir-371a,5.796977766886868
hsa-mir-516b-2,5.77164121818466
hsa-mir-517a,5.506988315026419
hsa-mir-517b,5.474499368302063
hsa-mir-372,5.445099517972551
hsa-mir-373,5.294653135116312
hsa-mir-1912,5.188067986433048
hsa-mir-1283-1,5.028541812313763
hsa-mir-518e,5.026831244809947
hsa-mir-519a-1,5.004082902451589
hsa-mir-519a-2,4.703832255272303
hsa-mir-515-1,4.701622690623573
hsa-mir-892a,4.514837484796138
hsa-mir-5682,4.488957738996911
hsa-mir-891a,4.482171474206703
hsa-mir-522,4.459434145992478
hsa-mir-892b,4.432601639474041
hsa-mir-1298,4.310068325686006
hsa-mir-513c,4.1162100923820715
hsa-mir-516a-1,4.099102211320826
hsa-mir-3923,4.094215483983067
hsa-mir-4788,3.917819530752946
hsa-mir-3145,3.854846671112342
hsa-mir-498,3.8393828163814443
hsa-mir-3128,3.6982472080328868
hsa-mir-891b,3.627509474471084
hsa-mir-507,3.593901225106515
hsa-mir-513a-1,3.526214576574092
hsa-mir-516a-2,3.5206124082272283
hsa-mir-4431,3.506268173722213
hsa-mir-599,3.3044079255140817
hsa-mir-4795,3.2468267551789665
hsa-mir-670,3.187663284533945
hsa-mir-6721,3.1722169011240613
hsa-mir-662,3.0993334596879936
hsa-mir-3663,3.059537761705314
hsa-mir-3681,3.052239079346771
hsa-mir-1911,3.046796746385442
hsa-mir-509-1,3.031698590754718
hsa-mir-519b,3.0118052221119864
hsa-mir-514b,2.9493543809127494
hsa-mir-3149,2.936116571208984
hsa-mir-6727,2.897235111693795
hsa-mir-1304,2.8234907022482876
hsa-mir-508,2.8139658820472997
hsa-mir-572,2.796730729802445
hsa-mir-4756,2.7959973271059217
hsa-mir-4465,2.77838940207086
hsa-mir-1305,2.7679443461309288
hsa-mir-1269b,2.763753193973707
hsa-mir-573,2.729432981419792
hsa-mir-4794,2.7112626783949736
hsa-mir-509-2,2.697298713281034
hsa-mir-548x,2.617608821293348
hsa-mir-875,2.6021305638069117
hsa-mir-514a-1,2.5829433918694433
hsa-mir-509-3,2.5754515516116556
hsa-mir-215,2.561736566225649
hsa-mir-1293,2.5286733384253446
hsa-mir-466,2.497976911262989
hsa-mir-6782,2.4911257030740037
hsa-mir-513a-2,2.443394871348146
hsa-mir-383,2.433678971928242
hsa-mir-6804,2.4296409486758903
hsa-mir-6853,2.412154366672069
hsa-mir-4435-2,2.4044952826116175
hsa-mir-3662,2.383202578347393
hsa-mir-5690,2.3768014164760425
hsa-mir-211,2.3653651347670985
hsa-mir-6776,2.3336923945619983
hsa-mir-4445,2.319672761221065
hsa-mir-514a-2,2.313144614774034
hsa-mir-2113,2.308778983207669
hsa-mir-514a-3,2.28953754364057
hsa-mir-1908,2.235409515428054
hsa-mir-4647,2.2190002279238565
hsa-mir-506,2.200452578163447
hsa-mir-597,2.1488982644764385
hsa-mir-6505,2.1324318123305552
hsa-mir-3131,2.121149647159749
hsa-mir-4454,2.102535877337864
hsa-mir-192,2.0675066087467813
hsa-mir-4782,2.0298773790782256
hsa-mir-668,2.0279477423937387
hsa-mir-6873,2.0093879398563503
hsa-mir-548f-1,2.0074399344629996
hsa-mir-5705,1.9919669198376084
hsa-mir-4461,1.9745692279634293
hsa-mir-378i,1.9735492990789665
hsa-mir-194-1,1.9707049275861204
hsa-mir-2114,1.9687406596916597
hsa-mir-6849,1.9456761678249757
hsa-mir-4634,1.939035033567374
hsa-mir-194-2,1.9373703038802905
hsa-mir-4734,1.913883388462815
hsa-mir-4433a,1.9044412599769214
hsa-mir-219a-2,1.8988474748190531
hsa-mir-4768,1.8887278615035126
hsa-mir-3177,1.8878257655891715
hsa-mir-3918,1.8606236746817009
hsa-mir-6796,1.8138853927450418
hsa-mir-4433b,1.8103464259416748
hsa-mir-1269a,1.8055686604581107
hsa-mir-4744,1.7713174629427482
hsa-mir-6823,1.7662546378854171
hsa-mir-6778,1.7562682001393366
hsa-mir-4705,1.7520774692335987
hsa-mir-3116-2,1.7437150993577542
hsa-mir-129-2,1.719751334601529
hsa-mir-6816,1.7196678812589492
hsa-mir-6851,1.7158569882872121
hsa-mir-129-1,1.6944098678764903
hsa-mir-7850,1.6919049213496575
hsa-mir-611,1.6872827459496238
hsa-mir-3655,1.6658043962400142
hsa-mir-378d-2,1.6618932068064167
hsa-mir-6766,1.6588496044864902
hsa-mir-2682,1.648489300305056
hsa-mir-4644,1.6434267249570196
hsa-mir-4516,1.630668149074736
hsa-mir-3196,1.6253871599106482
hsa-mir-4748,1.6219472453822066
hsa-mir-3138,1.6191099760784489
hsa-mir-5681b,1.6013996932058125
hsa-mir-4796,1.5929382727994827
hsa-mir-6750,1.5892346682667093
hsa-mir-888,1.5802964056713482
hsa-mir-559,1.5753602822954915
hsa-mir-4757,1.5668021377284642
hsa-mir-137,1.554685624774534
hsa-mir-5683,1.5482741068252392
hsa-mir-3161,1.5361589968029947
hsa-mir-1278,1.5332421517838342
hsa-mir-6888,1.5205702760083892
hsa-mir-3689a,1.5186261266984389
hsa-mir-6508,1.5150397501167914
hsa-mir-124-3,1.5010988248426296
hsa-mir-4659a,1.464284049696811
hsa-mir-1225,1.4572543640760989
hsa-mir-3146,1.4552702389890293
hsa-mir-3151,1.4531580564056594
hsa-mir-492,1.4467581832746619
hsa-mir-6856,1.4417919355347435
hsa-mir-206,1.4339904259315817
hsa-mir-7976,1.4240331496161318
hsa-mir-124-1,1.420729607575268
hsa-mir-4752,1.4102329180761417
hsa-mir-204,1.4100142493052614
hsa-mir-6887,1.401149354443659
hsa-mir-6789,1.3878256112137108
hsa-mir-4661,1.362604698433233
hsa-mir-6885,1.3623417115492567
hsa-mir-3155a,1.356680219789095
hsa-mir-5696,1.3541989955130354
hsa-mir-6786,1.335258109902079
hsa-mir-6780b,1.3091166452438625
hsa-mir-6736,1.307424649109271
hsa-mir-4529,1.2965345874877183
hsa-mir-1238,1.2914983117643803
hsa-mir-5100,1.287529557107103
hsa-mir-1914,1.2847575052753388
hsa-mir-4306,1.2735473845774552
hsa-mir-193b,1.2557677454285263
hsa-mir-3140,1.2509819700558165
hsa-mir-1224,1.2207092641998938
hsa-mir-1295b,1.2194178598057843
hsa-mir-499a,1.2188347594875102
hsa-mir-548az,1.2183365719904184
hsa-mir-3660,1.2049312666850631
hsa-mir-6767,1.1912375378242885
hsa-mir-6800,1.1900585173152132
hsa-mir-934,1.1865040811468266
hsa-mir-6744,1.1756255361616827
hsa-mir-5691,1.1508354507267553
hsa-mir-607,1.1464962145262514
hsa-mir-1275,1.1407154219289994
hsa-mir-4755,1.1281644611349535
hsa-mir-4689,1.1276739789581636
hsa-mir-6739,1.1212766497717372
hsa-mir-7641-2,1.111541779351917
hsa-mir-6512,1.1076365838782223
hsa-mir-6715b,1.106287968420403
hsa-mir-4521,1.1021491081870423
hsa-mir-584,1.0980524179557072
hsa-mir-4665,1.0840037037800325
hsa-mir-548y,1.0827663785509256
hsa-mir-4532,1.0703173734457252
hsa-mir-4773-1,1.0655944040247476
hsa-mir-6819,1.065285374870146
hsa-mir-490,1.061794192597313
hsa-mir-4449,1.0556246750013092
hsa-mir-580,1.0549039801008537
hsa-mir-4708,1.0529722621486246
hsa-mir-579,1.051417146828943
hsa-mir-4491,1.0489426406871838
hsa-mir-544a,1.0433614824908157
hsa-mir-374c,1.0409670562334121
hsa-mir-9-1,1.035043212251034
hsa-mir-6868,1.0348130510248696
hsa-mir-9-3,1.018626540398459
hsa-mir-6810,1.0180021851960315
hsa-mir-329-1,1.0164899768724422
hsa-mir-4426,1.0152449894488385
hsa-mir-9-2,1.0141562460808455
hsa-mir-3195,1.0073220745344773
hsa-mir-4786,1.007084449224919
hsa-mir-6741,1.0060601171120491
hsa-mir-4725,1.0046114759562546
hsa-mir-548aq,1.003914730023486
hsa-mir-6087,1.00209932992185
hsa-mir-3150a,0.9973051328599494
hsa-mir-561,0.9909685373859032
hsa-mir-3689e,0.9855623479285958
hsa-mir-4448,0.9752158279576743
hsa-mir-4732,0.9723829020338907
hsa-mir-5088,0.9694509233198818
hsa-mir-203a,0.9658259148960311
hsa-mir-5685,0.9604511423197567
hsa-mir-628,0.9579192374092789
hsa-mir-6749,0.9525966589327602
hsa-mir-1252,0.9523193711188476
hsa-mir-581,0.9489410005688125
hsa-mir-6738,0.9449955199614652
hsa-mir-4436b-1,0.9389386965217992
hsa-mir-3192,0.93307046336739
hsa-mir-3180-4,0.932012988520592
hsa-mir-3910-1,0.930558675394165
hsa-mir-3200,0.9161440863640493
hsa-mir-3188,0.9081174059810971
hsa-mir-4469,0.9077557230406411
hsa-mir-4754,0.8965682505067415
hsa-mir-4773-2,0.8905906934836477
hsa-mir-4690,0.8852813609101201
hsa-mir-6717,0.8675844273315318
hsa-mir-5581,0.8675351159927589
hsa-mir-5702,0.866987505358226
hsa-mir-4488,0.8573310720901212
hsa-mir-224,0.8542721885454421
hsa-mir-7109,0.8393782256479438
hsa-mir-196b,0.8390951511305467
hsa-mir-6812,0.8387056037752703
hsa-mir-6829,0.8330281205617798
hsa-mir-577,0.8304533557417313
hsa-mir-5582,0.8288865938650246
hsa-mir-614,0.8250578940217071
hsa-mir-4435-1,0.820275821028144
hsa-mir-5584,0.814813823511346
hsa-mir-4731,0.8099632799267973
hsa-mir-5089,0.8085393174815263
hsa-mir-3661,0.7960043155009874
hsa-mir-653,0.7959908120962572
hsa-mir-600,0.7949531285229191
hsa-mir-3144,0.7936160482800972
hsa-mir-7855,0.7923802536311065
hsa-mir-432,0.7881400099073275
hsa-mir-4791,0.7862157854164974
hsa-mir-4638,0.7850046273915292
hsa-mir-485,0.7786462831618016
hsa-mir-548at,0.7754631311632895
hsa-mir-944,0.7729638068250647
hsa-mir-19a,0.7719678214968959
hsa-mir-4766,0.7716371439093971
hsa-mir-548v,0.771309018973812
hsa-mir-486-1,0.7681289558220461
hsa-mir-4479,0.7664170171851736
hsa-mir-544b,0.7660461174738536
