,hsa-mir-202,hsa-mir-6879,hsa-mir-3150b,hsa-mir-329-2,hsa-mir-5690,hsa-mir-4802,hsa-mir-539,hsa-mir-410,hsa-mir-135a-1,hsa-mir-6718
hsa-mir-202,0.931101027100247,0.005084185454669473,0.02760462665700718,0.008817785440244138,0.0530840641588782,-0.013777442415436016,0.007736706266323097,0.0009277562337647381,-0.010956900736693472,0.005450758099136267
hsa-mir-6879,0.005084185454669473,0.987643091015701,0.05976986507864448,-0.0077477469737580636,0.012187266155760981,0.0004394212866674309,0.008530453303148,0.003152813163253575,0.04924380399387699,0.06810287187059946
hsa-mir-3150b,0.02760462665700718,0.05976986507864448,1.1655971822614963,0.006799144413126792,0.10935871671008485,0.07706180340159594,0.006814306192310582,-0.0004965379214333518,-0.03811961730375481,0.0038220832635637047
hsa-mir-329-2,0.008817785440244138,-0.0077477469737580636,0.006799144413126792,1.0936449988815307,-0.05109993352960972,0.020832325940665957,0.8544079694170257,0.9533199668599008,0.1022881542847722,-0.017303163005158495
hsa-mir-5690,0.0530840641588782,0.012187266155760981,0.10935871671008485,-0.05109993352960972,0.8718480504590572,0.04545739522553724,-0.03778194751648135,-0.06953848930560527,0.0582823117697077,0.016239598794491047
hsa-mir-4802,-0.013777442415436016,0.0004394212866674309,0.07706180340159594,0.020832325940665957,0.04545739522553724,0.9627235162889262,0.00010430011914080975,0.02041359440603811,-0.0007467353867426293,-0.028014745193826365
hsa-mir-539,0.007736706266323097,0.008530453303148,0.006814306192310582,0.8544079694170257,-0.03778194751648135,0.00010430011914080975,1.138917677921309,0.9223261843646162,0.0723430284160764,-0.018197432392533314
hsa-mir-410,0.0009277562337647381,0.003152813163253575,-0.0004965379214333518,0.9533199668599008,-0.06953848930560527,0.02041359440603811,0.9223261843646162,1.1619392798411823,0.08355338384166089,-0.015265933573321596
hsa-mir-135a-1,-0.010956900736693472,0.04924380399387699,-0.03811961730375481,0.1022881542847722,0.0582823117697077,-0.0007467353867426293,0.0723430284160764,0.08355338384166089,1.1722401699935576,0.001553852911985175
hsa-mir-6718,0.005450758099136267,0.06810287187059946,0.0038220832635637047,-0.017303163005158495,0.016239598794491047,-0.028014745193826365,-0.018197432392533314,-0.015265933573321596,0.001553852911985175,1.207557961461113
