,hsa-mir-4661,hsa-mir-425,hsa-mir-193b,hsa-mir-374b,hsa-mir-195,hsa-mir-2355,hsa-mir-19a,hsa-mir-501,hsa-mir-218-1,hsa-mir-6808
hsa-mir-4661,1.004894088738074,0.2093960550165215,0.13772530959244145,0.0947610382165453,-0.2130663603448899,0.1942328805765621,0.22675758181086933,0.2405699213625225,-0.0077368204444069714,0.04337896260423868
hsa-mir-425,0.2093960550165215,1.0200068752558575,0.15350455753278053,0.3268649228445407,-0.15830086779275626,0.17236648154081752,0.3816621437709849,0.2736600201429395,0.003858320704645327,0.007235817551033874
hsa-mir-193b,0.13772530959244145,0.15350455753278053,1.0864833977484776,0.11463308920471225,-0.24570896137289827,0.2600518083656026,0.1514079651464404,0.07067573596009588,-0.004188486575863278,0.07959418269551294
hsa-mir-374b,0.0947610382165453,0.3268649228445407,0.11463308920471225,0.9865912989958134,0.22648588053785104,0.19956112607708884,0.2007204761534288,0.11661061801691941,0.41877527847319873,-0.13924695123626007
hsa-mir-195,-0.2130663603448899,-0.15830086779275626,-0.24570896137289827,0.22648588053785104,0.8673500980389224,-0.19310260625578485,-0.18992185584318347,-0.17514318238069826,0.44782621793712446,-0.06024754718976369
hsa-mir-2355,0.1942328805765621,0.17236648154081752,0.2600518083656026,0.19956112607708884,-0.19310260625578485,1.018346853369895,0.13091374967820776,0.10026926530396896,-0.049714767850390265,-0.06250465251121602
hsa-mir-19a,0.22675758181086933,0.3816621437709849,0.1514079651464404,0.2007204761534288,-0.18992185584318347,0.13091374967820776,1.0604930389863176,0.14863657375707973,-0.03271139830366856,-0.07466038312555795
hsa-mir-501,0.2405699213625225,0.2736600201429395,0.07067573596009588,0.11661061801691941,-0.17514318238069826,0.10026926530396896,0.14863657375707973,0.8958034765357794,0.06523154536647979,0.2671675617035233
hsa-mir-218-1,-0.0077368204444069714,0.003858320704645327,-0.004188486575863278,0.41877527847319873,0.44782621793712446,-0.049714767850390265,-0.03271139830366856,0.06523154536647979,1.0743939258925173,-0.08586110389448535
hsa-mir-6808,0.04337896260423868,0.007235817551033874,0.07959418269551294,-0.13924695123626007,-0.06024754718976369,-0.06250465251121602,-0.07466038312555795,0.2671675617035233,-0.08586110389448535,1.1474900262461332
