,hsa-mir-4661,hsa-mir-425,hsa-mir-193b,hsa-mir-374b,hsa-mir-195,hsa-mir-2355,hsa-mir-19a,hsa-mir-501,hsa-mir-218-1,hsa-mir-6808
hsa-mir-4661,1.0,0.2068267940184076,0.13180808925284795,0.09517020921368678,-0.2282220097502776,0.19200597444136774,0.2196583717956878,0.25355653525975397,-0.007445958304639871,0.04039657602667147
hsa-mir-425,0.2068267940184076,1.0,0.14581700620922491,0.32583529590502863,-0.1683001604970902,0.169123284423199,0.3669641382927602,0.28628819029330516,0.003685657729270995,0.006688236143494799
hsa-mir-193b,0.13180808925284795,0.14581700620922491,1.0,0.11072095129901481,-0.2531117071459788,0.24722960106080885,0.141053304348753,0.07163947930262626,-0.0038767144093892914,0.0712845349531333
hsa-mir-374b,0.09517020921368678,0.32583529590502863,0.11072095129901481,1.0,0.2448360003235474,0.19909458239510452,0.19623168224597956,0.12404037906599075,0.40675286762247775,-0.1308707511216746
hsa-mir-195,-0.2282220097502776,-0.1683001604970902,-0.2531117071459788,0.2448360003235474,1.0,-0.20546746205223734,-0.19802673104167517,-0.1986962400121017,0.4639065746792371,-0.06039037061183627
hsa-mir-2355,0.19200597444136774,0.169123284423199,0.24722960106080885,0.19909458239510452,-0.20546746205223734,1.0,0.12597474510122678,0.10498169926227535,-0.04752868303681961,-0.057821589014795394
hsa-mir-19a,0.2196583717956878,0.3669641382927602,0.141053304348753,0.19623168224597956,-0.19802673104167517,0.12597474510122678,1.0,0.15249844065476728,-0.03064526815390165,-0.06768023272705491
hsa-mir-501,0.25355653525975397,0.28628819029330516,0.07163947930262626,0.12404037906599075,-0.1986962400121017,0.10498169926227535,0.15249844065476728,1.0,0.06649201946059902,0.2635135158018134
hsa-mir-218-1,-0.007445958304639871,0.003685657729270995,-0.0038767144093892914,0.40675286762247775,0.4639065746792371,-0.04752868303681961,-0.03064526815390165,0.06649201946059902,1.0,-0.07732861573180705
hsa-mir-6808,0.04039657602667147,0.006688236143494799,0.0712845349531333,-0.1308707511216746,-0.06039037061183627,-0.057821589014795394,-0.06768023272705491,0.2635135158018134,-0.07732861573180705,1.0
