,hsa-mir-4661,hsa-mir-193b,hsa-mir-4434,hsa-mir-425,hsa-mir-195,hsa-mir-6808,hsa-mir-19a,hsa-mir-6507,hsa-mir-5690,hsa-mir-501
hsa-mir-4661,1.1160558588189564,0.13103667689721268,0.025760920797930183,0.20908140358455027,-0.25130056377478344,0.07004963289297765,0.20922142178284941,0.0022016941324688654,0.04563793976711734,0.25015784513710076
hsa-mir-193b,0.13103667689721268,0.9505984428849701,-0.05265794681881707,0.1350252512932306,-0.2653959886714384,0.10200636381671553,0.1342637904405889,-0.06036603631086399,0.04906132980970325,0.08774156493581788
hsa-mir-4434,0.025760920797930183,-0.05265794681881707,1.1060582945266035,0.02847719449339951,-0.034842286056149606,-0.026373546458040246,-0.014160569478502723,-0.07581941854246488,0.061299022115701686,-0.002148971681429066
hsa-mir-425,0.20908140358455027,0.1350252512932306,0.02847719449339951,0.9404022155568242,-0.18423724378088788,0.013974358838357822,0.3354622079448813,-0.03189770370749618,0.12073705995404459,0.24553700645265011
hsa-mir-195,-0.25130056377478344,-0.2653959886714384,-0.034842286056149606,-0.18423724378088788,1.0893976373234262,-0.07612399168282577,-0.22398748192998355,0.16478138248400057,-0.026907467643811585,-0.20648875609608855
hsa-mir-6808,0.07004963289297765,0.10200636381671553,-0.026373546458040246,0.013974358838357822,-0.07612399168282577,1.1608037635395434,-0.07952115459839473,-0.011362982378723751,0.04837245815780449,0.3353976441799266
hsa-mir-19a,0.20922142178284941,0.1342637904405889,-0.014160569478502723,0.3354622079448813,-0.22398748192998355,-0.07952115459839473,1.0632606920911034,0.11159020347166701,0.06284140117260677,0.1291856243265434
hsa-mir-6507,0.0022016941324688654,-0.06036603631086399,-0.07581941854246488,-0.03189770370749618,0.16478138248400057,-0.011362982378723751,0.11159020347166701,0.6902431632608975,-0.01382831428957964,0.12666177787990332
hsa-mir-5690,0.04563793976711734,0.04906132980970325,0.061299022115701686,0.12073705995404459,-0.026907467643811585,0.04837245815780449,0.06284140117260677,-0.01382831428957964,0.8718480504590572,0.04283876333927911
hsa-mir-501,0.25015784513710076,0.08774156493581788,-0.002148971681429066,0.24553700645265011,-0.20648875609608855,0.3353976441799266,0.1291856243265434,0.12666177787990332,0.04283876333927911,1.0868924285557078
