,hsa-mir-3655,hsa-mir-1270,hsa-mir-185,hsa-mir-4802,hsa-mir-200c,hsa-mir-6720,hsa-mir-125b-2,hsa-mir-1258,hsa-mir-3124,hsa-mir-374b
hsa-mir-3655,0.9538297131561032,0.06025855940653224,-0.0010724086176191509,-0.046655384151944757,0.025380799113534833,0.013664437493998594,-0.0020115301120207144,0.05675009329841169,0.0494837448598319,0.027855731249495846
hsa-mir-1270,0.06025855940653224,1.0619755982637868,0.1380206623650536,0.05597163274067993,0.09437407062036797,0.04718450242364218,0.09769382216273052,0.049405161843523906,-0.0160719242918909,0.04155244689266632
hsa-mir-185,-0.0010724086176191509,0.1380206623650536,0.9651118842952798,0.12151112230930596,0.09129224317147472,0.16289236942959864,-0.06637275728989767,-0.03029802682772752,-0.03486891042734962,0.21471492631158695
hsa-mir-4802,-0.046655384151944757,0.05597163274067993,0.12151112230930596,0.9718165626258976,0.013194064431749485,-0.024927980444528996,-0.06490686486006529,-0.0746712877505541,0.05040446187332743,0.1723837296353536
hsa-mir-200c,0.025380799113534833,0.09437407062036797,0.09129224317147472,0.013194064431749485,0.9879212108958307,0.20021877206744437,0.0034128224162304622,-0.1609386767526493,0.0790526364351477,0.011417768041716472
hsa-mir-6720,0.013664437493998594,0.04718450242364218,0.16289236942959864,-0.024927980444528996,0.20021877206744437,0.9446160792192719,0.10438874265804374,0.05536493907444237,-0.015783680694225078,0.10455462539607162
hsa-mir-125b-2,-0.0020115301120207144,0.09769382216273052,-0.06637275728989767,-0.06490686486006529,0.0034128224162304622,0.10438874265804374,0.9943247797621173,0.12301863883698577,0.01652816546101942,-0.0055127910647218056
hsa-mir-1258,0.05675009329841169,0.049405161843523906,-0.03029802682772752,-0.0746712877505541,-0.1609386767526493,0.05536493907444237,0.12301863883698577,0.9956428289421012,-0.022692924831542775,0.19192598365829894
hsa-mir-3124,0.0494837448598319,-0.0160719242918909,-0.03486891042734962,0.05040446187332743,0.0790526364351477,-0.015783680694225078,0.01652816546101942,-0.022692924831542775,1.2410267915124662,-0.04684851529963826
hsa-mir-374b,0.027855731249495846,0.04155244689266632,0.21471492631158695,0.1723837296353536,0.011417768041716472,0.10455462539607162,-0.0055127910647218056,0.19192598365829894,-0.04684851529963826,0.9800128196200911
