,hsa-mir-509-1,hsa-mir-6720,hsa-mir-187,hsa-mir-4802,hsa-mir-203b,hsa-mir-145,hsa-mir-589,hsa-mir-4684,hsa-mir-4740,hsa-mir-466
hsa-mir-509-1,1.0,-0.000793476922016928,-0.026668599778504297,0.008802275378946366,0.05013546987505657,0.005796049673004575,0.016544922017008523,-0.042592395764789064,0.022280560938636236,0.08441123135471114
hsa-mir-6720,-0.000793476922016928,1.0,0.07294094438710236,-0.03618815297494163,0.37423369130383877,0.05201939663260331,0.14331082276518234,0.05130828972715096,-0.03435789225480377,0.04084971889125003
hsa-mir-187,-0.026668599778504297,0.07294094438710236,1.0,0.17559262273849938,0.08509742003151502,0.02853286386939554,0.1084397207406537,0.038929812091364396,-0.020537966621557432,0.04762887427038555
hsa-mir-4802,0.008802275378946366,-0.03618815297494163,0.17559262273849938,1.0,0.04815283109536998,-0.060237035286271425,0.13373293440372583,0.09042484187466271,-0.031010455602376627,0.06760981888593907
hsa-mir-203b,0.05013546987505657,0.37423369130383877,0.08509742003151502,0.04815283109536998,1.0,-0.052724693614904186,0.062150235003873844,0.06867628320741008,-0.07330225696876189,0.17473899139249716
hsa-mir-145,0.005796049673004575,0.05201939663260331,0.02853286386939554,-0.060237035286271425,-0.052724693614904186,1.0,0.19205068718994953,-0.08399372626691584,0.2771104071770473,0.003521449216778122
hsa-mir-589,0.016544922017008523,0.14331082276518234,0.1084397207406537,0.13373293440372583,0.062150235003873844,0.19205068718994953,1.0,0.05660973947039368,0.0893979406968625,0.07951659103728605
hsa-mir-4684,-0.042592395764789064,0.05130828972715096,0.038929812091364396,0.09042484187466271,0.06867628320741008,-0.08399372626691584,0.05660973947039368,1.0,-0.04285565628546396,-0.001176508587496531
hsa-mir-4740,0.022280560938636236,-0.03435789225480377,-0.020537966621557432,-0.031010455602376627,-0.07330225696876189,0.2771104071770473,0.0893979406968625,-0.04285565628546396,1.0,-0.04072402672967672
hsa-mir-466,0.08441123135471114,0.04084971889125003,0.04762887427038555,0.06760981888593907,0.17473899139249716,0.003521449216778122,0.07951659103728605,-0.001176508587496531,-0.04072402672967672,1.0
