,hsa-mir-187,hsa-mir-203b,hsa-mir-509-1,hsa-mir-589,hsa-mir-6720,hsa-mir-145,hsa-mir-4802,hsa-mir-3177,hsa-mir-466,hsa-mir-4684
hsa-mir-187,1.0,0.07671094113369636,-0.030344273046423467,0.11736477769959486,0.09655610663862176,0.014827754789961603,0.1177376800281016,0.035340420422059954,0.03838409967814795,-0.022216355101894483
hsa-mir-203b,0.07671094113369636,1.0,0.033805714910410144,0.020546155908195807,0.232629310600411,-0.045375409585698044,-0.03450287399634515,-0.04918450395666974,0.11621479722421844,0.06664262140730622
hsa-mir-509-1,-0.030344273046423467,0.033805714910410144,1.0,-0.03859614958349554,-0.0012016516106762357,0.017301934135467663,0.002667912115721441,-0.029387760070096455,0.10397444121180172,-0.03659790327667407
hsa-mir-589,0.11736477769959486,0.020546155908195807,-0.03859614958349554,1.0,0.11789307538757503,0.07927321601573294,0.15948926686597148,0.3089361583127472,0.1034710358695293,0.08802135437017877
hsa-mir-6720,0.09655610663862176,0.232629310600411,-0.0012016516106762357,0.11789307538757503,1.0,0.04313881441086805,-0.05910344268119424,0.014880477940646489,0.018435347021013553,0.07343083691131498
hsa-mir-145,0.014827754789961603,-0.045375409585698044,0.017301934135467663,0.07927321601573294,0.04313881441086805,1.0,-0.031234027841970748,0.00856699873667251,0.04330622120148645,-0.10132993722415783
hsa-mir-4802,0.1177376800281016,-0.03450287399634515,0.002667912115721441,0.15948926686597148,-0.05910344268119424,-0.031234027841970748,1.0,0.1808477024445632,0.09381483003317664,0.052403255012236166
hsa-mir-3177,0.035340420422059954,-0.04918450395666974,-0.029387760070096455,0.3089361583127472,0.014880477940646489,0.00856699873667251,0.1808477024445632,1.0,0.04558402313799092,0.08476732303176192
hsa-mir-466,0.03838409967814795,0.11621479722421844,0.10397444121180172,0.1034710358695293,0.018435347021013553,0.04330622120148645,0.09381483003317664,0.04558402313799092,1.0,-0.016470666881804544
hsa-mir-4684,-0.022216355101894483,0.06664262140730622,-0.03659790327667407,0.08802135437017877,0.07343083691131498,-0.10132993722415783,0.052403255012236166,0.08476732303176192,-0.016470666881804544,1.0
