,hsa-mir-185,hsa-mir-187,hsa-mir-425,hsa-mir-374b,hsa-mir-1270,hsa-mir-200c,hsa-let-7c,hsa-mir-370,hsa-mir-125b-2,hsa-mir-181b-2
hsa-mir-185,0.9794312795667095,0.04664182957427065,0.19007152802727414,0.237709070900683,0.07137894179017733,0.07646042594586873,-0.09562542184379459,-0.008918793805518473,-0.06432877492802486,0.011916145573030277
hsa-mir-187,0.04664182957427065,1.092380641750066,0.23249389493366268,0.1235660913928192,0.24772082646778978,0.06977241006210409,-0.040852776442455545,0.04497837378785201,-0.013000115448164684,-0.01083982446690777
hsa-mir-425,0.19007152802727414,0.23249389493366268,1.0200068752558575,0.3268649228445407,0.1881111126986882,0.26028992954512264,-0.03511758517071731,-0.016382738654849398,-0.07319804655389371,-0.04801024523773472
hsa-mir-374b,0.237709070900683,0.1235660913928192,0.3268649228445407,0.9865912989958134,0.057908199479824125,0.037479806207702054,0.012344021617370237,0.02151133192830147,-0.0010678641525444647,-0.07432453890211006
hsa-mir-1270,0.07137894179017733,0.24772082646778978,0.1881111126986882,0.057908199479824125,1.0278950256742814,0.0955661245235703,0.0985619507587354,-0.025018815019442715,0.07393480542301341,0.07522238078366804
hsa-mir-200c,0.07646042594586873,0.06977241006210409,0.26028992954512264,0.037479806207702054,0.0955661245235703,1.0455229437117461,0.03229134445747458,-0.007445806092253332,-0.024764013398255378,0.025891957578773033
hsa-let-7c,-0.09562542184379459,-0.040852776442455545,-0.03511758517071731,0.012344021617370237,0.0985619507587354,0.03229134445747458,1.035827096106003,0.06684487241369766,0.49558490058902677,0.03899952028832202
hsa-mir-370,-0.008918793805518473,0.04497837378785201,-0.016382738654849398,0.02151133192830147,-0.025018815019442715,-0.007445806092253332,0.06684487241369766,1.0625806662391577,0.14710754664292636,0.19588756007264288
hsa-mir-125b-2,-0.06432877492802486,-0.013000115448164684,-0.07319804655389371,-0.0010678641525444647,0.07393480542301341,-0.024764013398255378,0.49558490058902677,0.14710754664292636,0.9744084113649998,0.1939255045489494
hsa-mir-181b-2,0.011916145573030277,-0.01083982446690777,-0.04801024523773472,-0.07432453890211006,0.07522238078366804,0.025891957578773033,0.03899952028832202,0.19588756007264288,0.1939255045489494,0.9834054310741898
