,hsa-mir-509-1,hsa-mir-6720,hsa-mir-187,hsa-mir-4802,hsa-mir-203b,hsa-mir-145,hsa-mir-589,hsa-mir-4684,hsa-mir-4740,hsa-mir-466
hsa-mir-509-1,0.9076594294670054,-0.000785441594206386,-0.025992026466696717,0.00822824478926137,0.037270573704455835,0.0054292617795849854,0.015295659590485781,-0.03959236241020817,0.021323031002713887,0.07767832626327392
hsa-mir-6720,-0.000785441594206386,1.0795338600646658,0.07752967815357305,-0.036892266912161985,0.3034034704709961,0.053141115494499166,0.14449045112039471,0.05201439576865252,-0.03585964647632437,0.040996366629388444
hsa-mir-187,-0.025992026466696717,0.07752967815357305,1.0465426443101573,0.17625259532170706,0.06792886914008237,0.028699283262207245,0.10764872207620171,0.03885784013831989,-0.021105578687855273,0.047063794969999975
hsa-mir-4802,0.00822824478926137,-0.036892266912161985,0.17625259532170706,0.9627235162889262,0.036866519850116755,-0.05811143508494299,0.1273301315019737,0.0865678104696523,-0.03056471095094751,0.06407649157063101
hsa-mir-203b,0.037270573704455835,0.3034034704709961,0.06792886914008237,0.036866519850116755,0.6088622564759647,-0.040450212992796074,0.04705917669384342,0.052285852613135585,-0.05745637590234028,0.1317005269904687
hsa-mir-145,0.0054292617795849854,0.053141115494499166,0.028699283262207245,-0.05811143508494299,-0.040450212992796074,0.9667060647689619,0.18323359835031,-0.08057715979359556,0.2736915656972779,0.003344312199631672
hsa-mir-589,0.015295659590485781,0.14449045112039471,0.10764872207620171,0.1273301315019737,0.04705917669384342,0.18323359835031,0.9416381525365444,0.0535983060812812,0.08714267637123391,0.07453116986977627
hsa-mir-4684,-0.03959236241020817,0.05201439576865252,0.03885784013831989,0.0865678104696523,0.052285852613135585,-0.08057715979359556,0.0535983060812812,0.9519974169747424,-0.042003684834376664,-0.001108794717574447
hsa-mir-4740,0.021323031002713887,-0.03585964647632437,-0.021105578687855273,-0.03056471095094751,-0.05745637590234028,0.2736915656972779,0.08714267637123391,-0.042003684834376664,1.0090732929960942,-0.03951393048834619
hsa-mir-466,0.07767832626327392,0.040996366629388444,0.047063794969999975,0.06407649157063101,0.1317005269904687,0.003344312199631672,0.07453116986977627,-0.001108794717574447,-0.03951393048834619,0.9329885704416134
